Date,Price,Open,High,Low,Vol.,Change %,Chg. %,Unnamed: 7
04/12/2024,129.25,129.25,129.25,129.25,0.01K,0.39%,,
04/15/2024,129.75,129.75,129.75,129.75,,0.39%,,
04/16/2024,129.25,130.0,130.0,130.0,0.04K,-0.39%,,
04/17/2024,129.6,129.6,129.6,129.6,,0.27%,,
04/18/2024,129.6,129.6,129.6,129.6,0.02K,0.00%,,
04/19/2024,130.6,130.6,130.6,130.6,,0.77%,,
04/22/2024,129.5,129.5,129.5,129.5,,-0.84%,,
04/23/2024,129.75,129.75,129.75,129.75,,0.19%,,
04/24/2024,129.0,129.0,129.0,129.0,,-0.58%,,
04/25/2024,129.25,129.25,129.25,129.25,,0.19%,,
04/26/2024,129.75,129.75,129.75,129.75,,0.39%,,
04/29/2024,137.4,136.75,136.75,136.75,0.05K,5.90%,,
04/30/2024,142.25,142.25,142.25,142.25,0.01K,3.53%,,
05/01/2024,147.0,151.65,151.65,151.65,0.00K,3.34%,,
05/02/2024,147.75,147.75,147.75,147.75,0.02K,0.51%,,
05/03/2024,145.15,145.15,145.15,145.15,,-1.76%,,
05/06/2024,145.3,145.3,145.3,145.3,,0.10%,,
05/07/2024,146.4,146.4,146.4,146.4,0.04K,0.76%,,
05/08/2024,145.25,145.25,145.25,145.25,,-0.79%,,
05/09/2024,144.95,144.95,144.95,144.95,0.09K,-0.21%,,
05/10/2024,144.4,144.4,144.4,144.4,,-0.38%,,
05/13/2024,142.1,142.1,142.1,142.1,,-1.59%,,
05/14/2024,142.65,142.65,142.65,142.65,,0.39%,,
05/15/2024,143.0,143.0,143.0,143.0,,0.25%,,
05/16/2024,143.5,143.5,143.5,143.5,,0.35%,,
05/17/2024,141.5,141.5,141.5,141.5,,-1.39%,,
05/20/2024,141.0,141.0,141.0,141.0,,-0.35%,,
05/21/2024,142.05,142.05,142.05,142.05,0.01K,0.74%,,
05/22/2024,142.4,142.4,142.4,142.4,,0.25%,,
05/23/2024,142.75,142.75,142.75,142.75,,0.25%,,
05/24/2024,142.8,142.8,142.8,142.8,,0.04%,,
05/27/2024,142.8,142.8,142.8,142.8,,0.00%,,
05/28/2024,142.4,142.4,142.4,142.4,,-0.28%,,
05/29/2024,142.4,142.4,142.4,142.4,,0.00%,,
05/30/2024,142.4,142.4,142.4,142.4,,0.00%,,
05/31/2024,142.4,142.4,142.4,142.4,,0.00%,,
06/03/2024,140.2,139.0,140.75,138.75,0.14K,-1.54%,,
06/04/2024,137.95,137.95,137.95,137.95,,-1.60%,,
06/05/2024,136.0,136.0,136.0,136.0,0.01K,-1.41%,,
06/06/2024,134.35,134.35,134.35,134.35,0.01K,-1.21%,,
06/07/2024,131.45,131.0,131.0,131.0,0.01K,-2.16%,,
06/10/2024,131.85,131.85,131.85,131.85,0.01K,0.30%,,
06/11/2024,131.25,131.25,131.25,131.25,,-0.46%,,
06/12/2024,132.95,132.95,132.95,132.95,,1.30%,,
06/13/2024,134.7,134.7,134.7,134.7,,1.32%,,
06/14/2024,133.15,133.15,133.15,133.15,,-1.15%,,
06/17/2024,133.9,133.9,133.9,133.9,,0.56%,,
06/18/2024,133.9,133.9,133.9,133.9,,0.00%,,
06/19/2024,134.1,134.1,134.1,134.1,,0.15%,,
06/20/2024,133.9,133.9,133.9,133.9,,-0.15%,,
06/21/2024,132.05,132.05,132.05,132.05,,-1.38%,,
06/24/2024,132.95,132.95,132.95,132.95,,0.68%,,
06/25/2024,134.1,134.1,134.1,134.1,,0.86%,,
06/26/2024,132.0,132.0,132.0,132.0,,-1.57%,,
06/27/2024,132.75,132.75,132.75,132.75,,0.57%,,
06/28/2024,133.45,133.45,133.45,133.45,,0.53%,,
07/01/2024,132.1,132.1,132.1,132.1,0.00K,-1.01%,,
07/02/2024,132.25,132.25,132.25,132.25,0.01K,0.11%,,
