driver,ticker,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,return_pct,profit_rp,ending_value
GOLD,PSAB.JK,2005-09-15,5.0,2005-09-15,2005-09-29,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2005-11-17,5.67,2005-11-17,2005-12-01,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-01-03,5.42,2006-01-03,2006-01-17,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-03-02,5.28,2006-03-02,2006-03-16,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-03-30,5.83,2006-03-30,2006-04-13,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-06-30,6.14,2006-06-30,2006-07-14,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-08-07,5.73,2006-08-07,2006-08-21,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2006-11-03,5.72,2006-11-03,2006-11-17,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2007-01-23,6.21,2007-01-23,2007-02-06,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2007-09-06,5.54,2007-09-06,2007-09-20,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2007-11-02,5.46,2007-11-02,2007-11-16,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2007-12-28,5.08,2007-12-28,2008-01-16,9.428570747375488,9.428570747375488,1000000,106060.61,0.0,0.0,1000000.0
GOLD,PSAB.JK,2008-02-20,5.5,2008-02-20,2008-03-05,9.428570747375488,9.428570747375488,1000000,106060.61,0.0,0.0,1000000.0
GOLD,PSAB.JK,2008-04-15,5.19,2008-04-15,2008-04-29,9.428570747375488,9.428570747375488,1000000,106060.61,0.0,0.0,1000000.0
GOLD,PSAB.JK,2008-05-16,5.01,2008-05-16,2008-06-03,9.428570747375488,9.428570747375488,1000000,106060.61,0.0,0.0,1000000.0
GOLD,PSAB.JK,2008-06-26,5.05,2008-06-26,2008-07-10,9.428570747375488,9.428570747375488,1000000,106060.61,0.0,0.0,1000000.0
GOLD,PSAB.JK,2008-08-29,5.51,2008-08-29,2008-09-12,6.571427822113037,5.285714149475098,1000000,152173.93,-19.57,-195652.0,804348.0
GOLD,PSAB.JK,2008-11-21,7.98,2008-11-21,2008-12-05,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2009-01-26,6.34,2009-01-27,2009-02-10,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2009-05-29,5.47,2009-05-29,2009-06-12,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2009-09-03,5.9,2009-09-03,2009-09-17,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2009-10-08,5.8,2009-10-08,2009-10-22,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2009-11-09,5.63,2009-11-09,2009-11-23,5.285714149475098,5.285714149475098,1000000,189189.19,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2010-02-19,5.54,2010-02-19,2010-03-08,4.142857074737549,10.857142448425293,1000000,241379.31,162.07,1620690.0,2620690.0
GOLD,PSAB.JK,2010-04-08,5.84,2010-04-08,2010-04-22,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
GOLD,PSAB.JK,2010-05-11,5.01,2010-05-11,2010-05-26,12.857142448425293,12.857142448425293,1000000,77777.78,-0.0,-0.0,1000000.0
