driver,ticker,lookback,threshold,holding,events,winrate,avg_return,compound,profit_factor,mdd,expectancy,ranking
GOLD,HRTA.JK,5,1.5,1,6,33.33,1.27,5.37,1.38,8.08,1.27,168
GOLD,HRTA.JK,5,2.0,1,6,33.33,1.27,5.37,1.38,8.08,1.27,169
GOLD,HRTA.JK,5,2.5,1,6,33.33,1.27,5.37,1.38,8.08,1.27,170
GOLD,MDKA.JK,3,0.5,2,8,62.5,1.07,6.06,1.35,13.88,1.07,171
GOLD,ANTM.JK,3,1.0,10,6,50.0,1.78,4.24,1.35,23.45,1.78,172
GOLD,ANTM.JK,1,2.0,1,6,50.0,0.63,2.88,1.35,8.68,0.63,173
GOLD,MDKA.JK,3,5.0,2,3,33.33,0.64,1.59,1.35,5.35,0.64,174
GOLD,ANTM.JK,3,2.5,1,6,50.0,0.26,1.45,1.34,4.61,0.26,175
GOLD,ANTM.JK,3,3.0,1,6,50.0,0.26,1.45,1.34,4.61,0.26,176
GOLD,ANTM.JK,10,0.5,5,5,60.0,1.15,3.39,1.3,16.09,1.15,177
GOLD,PSAB.JK,10,0.5,2,5,60.0,0.49,2.05,1.29,4.58,0.49,178
GOLD,ANTM.JK,3,0.5,10,7,42.86,1.3,3.96,1.28,23.65,1.3,179
GOLD,HRTA.JK,1,0.5,10,7,71.43,1.21,3.51,1.28,25.15,1.21,180
GOLD,HRTA.JK,3,1.0,10,6,66.67,1.59,2.61,1.28,32.12,1.59,181
GOLD,HRTA.JK,10,1.0,2,5,60.0,0.63,2.1,1.28,11.45,0.63,182
GOLD,PSAB.JK,10,0.5,1,5,40.0,0.47,1.92,1.28,7.51,0.47,183
GOLD,HRTA.JK,3,0.5,5,7,57.14,1.29,4.2,1.27,23.14,1.29,184
GOLD,MDKA.JK,10,2.0,3,4,50.0,0.88,2.15,1.27,12.59,0.88,185
GOLD,MDKA.JK,10,2.5,3,4,50.0,0.88,2.15,1.27,12.59,0.88,186
GOLD,MDKA.JK,10,3.0,3,4,50.0,0.88,2.15,1.27,12.59,0.88,187
GOLD,BRMS.JK,5,0.5,1,7,57.14,0.37,2.11,1.27,5.16,0.37,188
GOLD,BRMS.JK,5,1.0,1,7,57.14,0.37,2.11,1.27,5.16,0.37,189
GOLD,MDKA.JK,3,0.5,1,8,75.0,0.39,2.09,1.26,12.12,0.39,190
GOLD,HRTA.JK,5,5.0,3,4,50.0,0.67,1.97,1.26,9.99,0.67,191
GOLD,HRTA.JK,10,0.5,2,5,60.0,0.56,1.73,1.24,11.45,0.56,192
GOLD,HRTA.JK,3,2.5,5,6,50.0,0.91,2.28,1.23,14.84,0.91,193
GOLD,HRTA.JK,3,3.0,5,6,50.0,0.91,2.28,1.23,14.84,0.91,194
GOLD,MDKA.JK,3,1.0,10,6,83.33,1.2,-2.95,1.22,31.87,1.2,195
GOLD,HRTA.JK,5,0.5,2,7,42.86,0.53,2.18,1.21,7.69,0.53,196
GOLD,HRTA.JK,5,1.0,2,7,42.86,0.53,2.18,1.21,7.69,0.53,197
GOLD,ANTM.JK,5,5.0,2,4,25.0,0.52,1.07,1.19,10.4,0.52,198
GOLD,BRMS.JK,5,5.0,3,4,50.0,0.32,0.99,1.19,6.93,0.32,199
GOLD,ANTM.JK,3,0.5,2,8,62.5,0.54,2.3,1.18,12.52,0.54,200
GOLD,PSAB.JK,5,1.5,3,6,50.0,0.68,1.76,1.18,12.53,0.68,201
GOLD,PSAB.JK,5,2.0,3,6,50.0,0.68,1.76,1.18,12.53,0.68,202
GOLD,PSAB.JK,5,2.5,3,6,50.0,0.68,1.76,1.18,12.53,0.68,203
GOLD,HRTA.JK,3,1.0,3,6,50.0,0.7,1.74,1.18,15.29,0.7,204
GOLD,HRTA.JK,10,2.0,10,4,50.0,1.3,0.25,1.18,17.56,1.3,205
GOLD,HRTA.JK,10,2.5,10,4,50.0,1.3,0.25,1.18,17.56,1.3,206
GOLD,HRTA.JK,10,3.0,10,4,50.0,1.3,0.25,1.18,17.56,1.3,207
GOLD,ANTM.JK,1,1.0,5,7,71.43,0.61,0.92,1.16,17.0,0.61,208
GOLD,ANTM.JK,1,3.0,5,3,66.67,0.44,0.72,1.16,8.31,0.44,209
GOLD,HRTA.JK,5,0.5,3,7,28.57,0.53,0.66,1.15,9.23,0.53,210
GOLD,HRTA.JK,5,1.0,3,7,28.57,0.53,0.66,1.15,9.23,0.53,211
GOLD,PSAB.JK,5,0.5,3,7,42.86,0.43,0.78,1.13,13.37,0.43,212
GOLD,PSAB.JK,5,1.0,3,7,42.86,0.43,0.78,1.13,13.37,0.43,213
GOLD,HRTA.JK,1,1.5,10,6,66.67,0.55,-1.57,1.11,28.82,0.55,214
GOLD,MDKA.JK,1,1.5,2,6,50.0,0.18,0.54,1.1,6.38,0.18,215
GOLD,BRMS.JK,3,5.0,2,3,33.33,0.1,0.19,1.09,3.29,0.1,216
GOLD,ANTM.JK,1,1.5,3,6,66.67,0.13,0.15,1.08,8.68,0.13,217
GOLD,ANTM.JK,3,1.5,2,6,50.0,0.22,-0.1,1.08,11.81,0.22,218
GOLD,ANTM.JK,3,2.0,2,6,50.0,0.22,-0.1,1.08,11.81,0.22,219
GOLD,PSAB.JK,1,0.5,3,7,14.29,0.27,-2.03,1.08,17.17,0.27,220
GOLD,MDKA.JK,3,5.0,3,3,33.33,0.16,0.03,1.07,7.11,0.16,221
GOLD,MDKA.JK,1,2.0,3,6,33.33,0.15,-0.21,1.07,13.08,0.15,222
GOLD,HRTA.JK,1,2.5,5,6,33.33,0.26,-0.68,1.07,13.39,0.26,223
GOLD,MDKA.JK,3,1.0,5,6,50.0,0.24,-1.19,1.07,16.63,0.24,224
GOLD,MDKA.JK,1,1.5,10,6,33.33,0.27,-1.71,1.07,19.82,0.27,225
GOLD,HRTA.JK,1,1.0,5,7,57.14,0.35,-3.5,1.07,22.29,0.35,226
GOLD,PSAB.JK,5,0.5,10,7,42.86,0.25,-1.4,1.06,21.94,0.25,227
GOLD,PSAB.JK,5,1.0,10,7,42.86,0.25,-1.4,1.06,21.94,0.25,228
GOLD,PSAB.JK,10,1.5,5,5,60.0,0.3,-2.97,1.06,22.0,0.3,229
