driver,driver_symbol,ticker,rule,signal_date,event_date,driver_close,driver_return_pct,entry_date,buy_date,exit_date,sell_date,entry_price,buy_price,exit_price,sell_price,return_pct,return_decimal,lookback_days,threshold_pct,hold_days,cooldown_days
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-02-25,2009-02-25,965.7000122070312,5.691145814302301,2009-02-26,2009-02-26,2009-03-12,2009-03-12,991.1726684570312,991.1726684570312,898.7752075195312,898.7752075195312,-9.322034785456312,-0.09322034785456312,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-05-29,2009-05-29,978.7999877929688,5.474136615621639,2009-06-01,2009-06-01,2009-06-12,2009-06-12,1994.945068359375,1994.945068359375,1952.9461669921875,1952.9461669921875,-2.1052660563594894,-0.021052660563594894,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-09-03,2009-09-03,995.7999877929688,5.90237166016212,2009-09-04,2009-09-04,2009-09-17,2009-09-17,1952.9461669921875,1952.9461669921875,2162.9404296875,2162.9404296875,10.752690793250764,0.10752690793250763,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-10-08,2009-10-08,1055.4000244140625,5.80451372572055,2009-10-09,2009-10-09,2009-10-22,2009-10-22,2204.939208984375,2204.939208984375,2141.94091796875,2141.94091796875,-2.8571441225648475,-0.028571441225648475,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-11-09,2009-11-09,1100.800048828125,5.6328638918912155,2009-11-10,2009-11-10,2009-11-23,2009-11-23,1847.9490966796875,1847.9490966796875,2015.9444580078125,2015.9444580078125,9.09090849038925,0.09090908490389249,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2010-02-19,2010-02-19,1121.300048828125,5.544053375426761,2010-02-22,2010-02-22,2010-03-08,2010-03-08,1742.951904296875,1742.951904296875,1805.9501953125,1805.9501953125,3.6144595189526507,0.03614459518952651,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2010-04-08,2010-04-08,1152.199951171875,5.842364230414843,2010-04-09,2010-04-09,2010-04-22,2010-04-22,2036.94384765625,2036.94384765625,2099.942138671875,2099.942138671875,3.0927848643501843,0.030927848643501843,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2010-05-11,2010-05-11,1219.9000244140625,5.009905800846215,2010-05-12,2010-05-12,2010-05-26,2010-05-26,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2010-10-05,2010-10-05,1338.9000244140625,5.226343816727219,2010-10-06,2010-10-06,2010-10-19,2010-10-19,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2010-11-05,2010-11-05,1397.300048828125,5.504381083526089,2010-11-08,2010-11-08,2010-11-22,2010-11-22,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-04-28,2011-04-28,1530.800048828125,5.21685498250164,2011-04-29,2011-04-29,2011-05-12,2011-05-12,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-07-13,2011-07-13,1585.199951171875,5.701140413666739,2011-07-14,2011-07-14,2011-07-27,2011-07-27,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-08-11,2011-08-11,1748.800048828125,8.39221658393341,2011-08-12,2011-08-12,2011-08-26,2011-08-26,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-11-02,2011-11-02,1728.699951171875,5.024298370101765,2011-11-03,2011-11-03,2011-11-16,2011-11-16,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2012-01-12,2012-01-12,1647.300048828125,5.400219022051922,2012-01-13,2012-01-13,2012-01-27,2012-01-27,2666.926513671875,2666.926513671875,2666.926513671875,2666.926513671875,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2012-09-13,2012-09-13,1769.0999755859375,6.585126132209829,2012-09-14,2012-09-14,2012-09-27,2012-09-27,2666.926513671875,2666.926513671875,1133.96875,1133.96875,-57.48031510479341,-0.5748031510479341,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2013-04-29,2013-04-29,1467.4000244140625,7.849481900962996,2013-04-30,2013-04-30,2013-05-14,2013-05-14,1159.1680908203125,1159.1680908203125,1133.96875,1133.96875,-2.1739160195894947,-0.021739160195894947,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2013-07-12,2013-07-12,1277.800048828125,5.481263255395685,2013-07-15,2013-07-15,2013-07-26,2013-07-26,1016.3720092773438,1016.3720092773438,1041.5712890625,1041.5712890625,2.4793362622287596,0.024793362622287596,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2013-08-20,2013-08-20,1373.0999755859375,7.0059248624473325,2013-08-21,2013-08-21,2013-09-03,2013-09-03,1091.9698486328125,1091.9698486328125,1150.768310546875,1150.768310546875,5.384623209851491,0.05384623209851491,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2013-10-25,2013-10-25,1352.4000244140625,6.656153344957616,2013-10-28,2013-10-28,2013-11-11,2013-11-11,1318.763671875,1318.763671875,1201.1668701171875,1201.1668701171875,-8.917200577008233,-0.08917200577008233,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2014-02-14,2014-02-14,1319.0,6.362392223802993,2014-02-17,2014-02-17,2014-02-28,2014-02-28,869.3760375976562,869.3760375976562,873.575927734375,873.575927734375,0.48309246575559683,0.004830924657555968,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2014-06-20,2014-06-20,1316.199951171875,5.119397558964178,2014-06-23,2014-06-23,2014-07-04,2014-07-04,940.7740478515625,940.7740478515625,965.973388671875,965.973388671875,2.6785752517153316,0.026785752517153316,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2015-01-15,2015-01-15,1264.699951171875,6.8248944244934995,2015-01-16,2015-01-16,2015-01-29,2015-01-29,886.1755981445312,886.1755981445312,898.7752075195312,898.7752075195312,1.4217960189133017,0.014217960189133017,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2015-08-20,2015-08-20,1153.0,5.760415670595109,2015-08-21,2015-08-21,2015-09-03,2015-09-03,424.1883239746094,424.1883239746094,413.26861572265625,413.26861572265625,-2.574259505692278,-0.02574259505692278,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2015-10-14,2015-10-14,1180.0999755859375,5.791122867408105,2015-10-15,2015-10-15,2015-10-28,2015-10-28,424.1883239746094,424.1883239746094,394.0,394.0,-7.116726762242598,-0.07116726762242598,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2016-02-04,2016-02-04,1157.5999755859375,5.322536739099948,2016-02-05,2016-02-05,2016-02-19,2016-02-19,342.0,342.0,369.0,369.0,7.8947368421052655,0.07894736842105265,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2016-05-06,2016-05-06,1292.9000244140625,5.22504075799437,2016-05-09,2016-05-09,2016-05-20,2016-05-20,740.0,740.0,660.0,660.0,-10.81081081081081,-0.10810810810810811,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2016-06-13,2016-06-13,1284.4000244140625,5.816441979393461,2016-06-14,2016-06-14,2016-06-27,2016-06-27,685.0,685.0,735.0,735.0,7.299270072992692,0.07299270072992692,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2017-01-11,2017-01-11,1195.5999755859375,5.126169370860811,2017-01-12,2017-01-12,2017-01-25,2017-01-25,865.0,865.0,805.0,805.0,-6.936416184971095,-0.06936416184971095,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2019-06-06,2019-06-06,1337.5999755859375,5.025125724469004,2019-06-07,2019-06-07,2019-06-20,2019-06-20,725.0,725.0,805.0,805.0,11.03448275862069,0.1103448275862069,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2019-08-07,2019-08-07,1507.300048828125,5.938993330060516,2019-08-08,2019-08-08,2019-08-21,2019-08-21,1020.0,1020.0,1070.0,1070.0,4.90196078431373,0.0490196078431373,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2020-01-03,2020-01-03,1549.199951171875,5.201682524506279,2020-01-06,2020-01-06,2020-01-17,2020-01-17,885.0,885.0,840.0,840.0,-5.0847457627118615,-0.05084745762711862,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2020-02-21,2020-02-21,1644.5999755859375,5.0795477119752075,2020-02-24,2020-02-24,2020-03-06,2020-03-06,685.0,685.0,610.0,610.0,-10.948905109489049,-0.10948905109489049,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2020-03-27,2020-03-27,1623.9000244140625,7.138620883277835,2020-03-30,2020-03-30,2020-04-13,2020-04-13,432.0,432.0,535.0,535.0,23.84259259259258,0.23842592592592582,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2020-07-24,2020-07-24,1897.300048828125,5.511072202602785,2020-07-27,2020-07-27,2020-08-10,2020-08-10,725.0,725.0,825.0,825.0,13.793103448275868,0.13793103448275867,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2021-05-18,2021-05-18,1867.800048828125,5.180763457052051,2021-05-19,2021-05-19,2021-06-03,2021-06-03,2550.0,2550.0,2520.0,2520.0,-1.17647058823529,-0.0117647058823529,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2021-11-17,2021-11-17,1869.699951171875,6.0161021237645995,2021-11-18,2021-11-18,2021-12-01,2021-12-01,2330.0,2330.0,2270.0,2270.0,-2.5751072961373356,-0.025751072961373356,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2022-02-17,2022-02-17,1900.699951171875,5.418743825395178,2022-02-18,2022-02-18,2022-03-07,2022-03-07,2090.0,2090.0,2820.0,2820.0,34.92822966507176,0.34928229665071764,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2022-11-10,2022-11-10,1750.300048828125,5.395321267578979,2022-11-11,2022-11-11,2022-11-24,2022-11-24,2120.0,2120.0,1970.0,1970.0,-7.075471698113212,-0.07075471698113212,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2023-01-13,2023-01-13,1918.4000244140625,5.435560561366448,2023-01-16,2023-01-16,2023-01-30,2023-01-30,2180.0,2180.0,2290.0,2290.0,5.045871559633031,0.050458715596330306,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2023-03-13,2023-03-13,1911.699951171875,5.2118850397289584,2023-03-14,2023-03-14,2023-03-29,2023-03-29,1815.0,1815.0,2080.0,2080.0,14.600550964187331,0.1460055096418733,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2023-10-17,2023-10-17,1922.699951171875,5.376519615179465,2023-10-18,2023-10-18,2023-10-31,2023-10-31,1850.0,1850.0,1705.0,1705.0,-7.837837837837835,-0.07837837837837835,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2023-12-27,2023-12-27,2081.89990234375,5.263416470097959,2023-12-28,2023-12-28,2024-01-11,2024-01-11,1715.0,1715.0,1635.0,1635.0,-4.664723032069973,-0.04664723032069973,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2024-03-04,2024-03-04,2117.699951171875,5.279639630717137,2024-03-05,2024-03-05,2024-03-20,2024-03-20,1460.0,1460.0,1660.0,1660.0,13.698630136986312,0.13698630136986312,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2024-04-03,2024-04-03,2294.39990234375,6.404482232919184,2024-04-04,2024-04-04,2024-04-25,2024-04-25,1660.0,1660.0,1590.0,1590.0,-4.216867469879515,-0.04216867469879515,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2024-07-11,2024-07-11,2415.0,5.036536677425696,2024-07-12,2024-07-12,2024-07-25,2024-07-25,1360.0,1360.0,1280.0,1280.0,-5.882352941176472,-0.05882352941176472,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2024-08-20,2024-08-20,2511.300048828125,5.1148945702089055,2024-08-21,2024-08-21,2024-09-03,2024-09-03,1470.0,1470.0,1370.0,1370.0,-6.802721088435371,-0.0680272108843537,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2024-09-20,2024-09-20,2619.89990234375,5.0691759512231815,2024-09-23,2024-09-23,2024-10-04,2024-10-04,1395.0,1395.0,1525.0,1525.0,9.31899641577061,0.09318996415770608,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-02-10,2025-02-10,2914.300048828125,6.458449272260269,2025-02-11,2025-02-11,2025-02-24,2025-02-24,1400.0,1400.0,1640.0,1640.0,17.14285714285715,0.17142857142857149,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-03-14,2025-03-14,2994.5,5.559078837333642,2025-03-17,2025-03-17,2025-04-08,2025-04-08,1655.0,1655.0,1400.0,1400.0,-15.407854984894264,-0.15407854984894265,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-04-16,2025-04-16,3326.60009765625,5.946055642510739,2025-04-17,2025-04-17,2025-05-02,2025-05-02,1945.0,1945.0,2290.0,2290.0,17.73778920308484,0.17737789203084842,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-06-02,2025-06-02,3370.60009765625,5.9270929495993,2025-06-03,2025-06-03,2025-06-18,2025-06-18,3360.0,3360.0,3550.0,3550.0,5.654761904761907,0.05654761904761907,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-09-02,2025-09-02,3549.39990234375,6.5342003890627165,2025-09-03,2025-09-03,2025-09-17,2025-09-17,3480.0,3480.0,3460.0,3460.0,-0.5747126436781658,-0.005747126436781658,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-10-01,2025-10-01,3867.5,5.043727217912908,2025-10-02,2025-10-02,2025-10-15,2025-10-15,3110.0,3110.0,3400.0,3400.0,9.324758842443725,0.09324758842443726,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-11-12,2025-11-12,4204.39990234375,5.540074651128091,2025-11-13,2025-11-13,2025-11-26,2025-11-26,2890.0,2890.0,3030.0,3030.0,4.844290657439454,0.04844290657439454,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2025-12-22,2025-12-22,4444.60009765625,6.147303456660724,2025-12-23,2025-12-23,2026-01-09,2026-01-09,3190.0,3190.0,3630.0,3630.0,13.793103448275868,0.13793103448275867,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2026-01-23,2026-01-23,4976.2001953125,11.832257835137682,2026-01-26,2026-01-26,2026-02-06,2026-02-06,4760.0,4760.0,3710.0,3710.0,-22.058823529411764,-0.22058823529411764,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2026-02-27,2026-02-27,5230.5,6.231082164173651,2026-03-02,2026-03-02,2026-03-13,2026-03-13,4610.0,4610.0,3810.0,3810.0,-17.353579175704994,-0.17353579175704992,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2026-04-07,2026-04-07,4657.10009765625,5.744646906064643,2026-04-08,2026-04-08,2026-04-21,2026-04-21,3740.0,3740.0,4030.0,4030.0,7.754010695187175,0.07754010695187175,10,5.0,10,20
GOLD,GOLD,BRMS.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-04-28,2011-04-28,1530.800048828125,5.21685498250164,2011-04-29,2011-04-29,2011-05-12,2011-05-12,610.5449829101562,610.5449829101562,601.8229370117188,601.8229370117188,-1.4285672870267385,-0.014285672870267385,10,5.0,10,20
GOLD,GOLD,BRMS.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-07-13,2011-07-13,1585.199951171875,5.701140413666739,2011-07-14,2011-07-14,2011-07-27,2011-07-27,619.26708984375,619.26708984375,662.87744140625,662.87744140625,7.042252410588068,0.07042252410588068,10,5.0,10,20
GOLD,GOLD,BRMS.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-08-11,2011-08-11,1748.800048828125,8.39221658393341,2011-08-12,2011-08-12,2011-08-26,2011-08-26,610.5449829101562,610.5449829101562,558.2125854492188,558.2125854492188,-8.571423715824455,-0.08571423715824456,10,5.0,10,20
GOLD,GOLD,BRMS.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2011-11-02,2011-11-02,1728.699951171875,5.024298370101765,2011-11-03,2011-11-03,2011-11-16,2011-11-16,470.9918518066406,470.9918518066406,523.3242797851562,523.3242797851562,11.111111111111116,0.11111111111111116,10,5.0,10,20
